age,gender,race,zip_code,years_experience,income,credit_score,loan_approved
59,Male,Hispanic,30002,14.7,35024,724,1
28,Female,White,10004,3.2,45891,692,1
29,Male,Asian,40001,15.7,61246,765,1
28,Male,Hispanic,10001,10.0,75290,736,0
29,Female,White,10005,9.0,82279,740,0
28,Male,White,10004,11.8,59904,679,0
46,Female,Hispanic,10001,4.4,68460,674,0
49,Female,Black,20004,9.4,20000,615,0
29,Female,Black,20005,3.5999999999999996,33614,687,0
26,Male,Hispanic,10001,7.5,39021,746,1
39,Female,White,10002,10.3,85044,689,1
29,Male,White,10005,11.5,73093,722,1
41,Male,White,10004,9.6,63693,755,1
37,Male,Hispanic,10002,3.7,58635,718,0
19,Female,Black,20003,2.5,79367,723,0
50,Male,White,10002,11.4,56596,632,0
52,Male,White,10004,13.7,33719,683,1
28,Female,White,10003,2.0,81744,786,1
31,Male,White,10003,5.8,63637,705,1
37,Male,Black,20005,10.7,67073,794,1
38,Male,Black,20003,10.6,47105,663,0
41,Male,Hispanic,30002,1.9,36226,711,0
55,Male,White,10002,10.8,68056,680,1
33,Male,White,10001,7.0,60204,729,0
27,Female,Black,20002,15.7,51699,744,1
21,Male,Hispanic,30003,11.2,85331,730,0
27,Male,Black,20002,12.1,26026,752,1
34,Female,Hispanic,10002,9.7,58718,699,1
52,Male,White,10001,3.9,43620,690,1
29,Female,Black,20003,17.2,20000,612,1
37,Male,White,10001,1.9,59021,731,1
34,Male,White,10003,14.0,60620,708,1
46,Male,White,10005,13.1,72470,696,0
60,Male,White,10001,7.6,55649,690,0
29,Male,Black,20004,13.3,20000,698,1
30,Male,White,10003,8.4,43551,688,1
45,Male,Black,20004,6.6,74339,673,1
41,Male,Asian,40001,12.3,43267,711,1
53,Male,White,10004,5.0,91665,724,1
40,Male,White,10004,8.9,81000,661,1
31,Male,Hispanic,30001,7.0,46644,679,1
40,Male,White,10005,8.3,45418,689,1
46,Female,White,10004,9.7,80958,700,0
43,Male,White,10004,7.0,55182,693,1
40,Female,White,10005,6.5,29087,732,1
45,Female,Asian,10001,5.0,71246,617,1
46,Male,Hispanic,10001,17.2,61345,626,1
48,Female,Black,20004,9.2,70754,709,1
41,Female,Hispanic,30002,8.6,59992,669,1
33,Male,Hispanic,10002,13.4,42017,744,0
36,Male,White,10004,7.0,85394,758,1
47,Female,Hispanic,10002,11.8,80340,711,0
26,Female,Black,20003,9.2,52664,646,0
38,Male,Hispanic,30003,2.2,54206,752,0
31,Male,Hispanic,10001,2.9,26535,709,1
35,Male,White,10005,7.1,47849,625,1
47,Male,White,10005,3.4,75215,630,1
36,Female,White,10005,6.300000000000001,48854,775,1
35,Male,White,10002,4.9,30863,767,1
21,Male,Hispanic,30003,9.5,122918,574,0
42,Female,Hispanic,10002,14.600000000000001,23732,632,1
41,Male,White,10005,9.8,105135,757,1
56,Male,Black,20002,8.5,41852,699,1
31,Female,White,10002,9.4,58309,735,1
37,Female,White,10005,4.0,46554,696,1
37,Male,White,10001,14.2,75657,732,1
50,Male,White,10005,12.5,31205,700,1
34,Male,Asian,10003,10.2,23193,678,1
37,Male,White,10002,10.8,92203,752,1
41,Male,Black,20002,20.2,31921,710,0
36,Male,Black,20005,14.7,62922,732,1
30,Male,White,10005,21.0,38291,707,1
36,Male,Asian,10003,12.7,74168,675,0
45,Male,Asian,40002,2.6,93671,780,0
24,Male,White,10005,8.7,49458,717,1
36,Male,White,10005,1.5,21331,682,1
27,Male,White,10004,12.6,93776,763,1
46,Male,White,10001,13.7,78525,633,1
19,Female,White,10003,3.0999999999999996,50529,811,1
29,Female,Black,20001,4.2,43641,691,0
38,Female,Black,20004,8.2,25787,636,1
50,Female,White,10003,1.5,88405,795,1
34,Male,White,10005,3.6,49306,676,0
29,Male,Asian,10001,16.2,31626,712,0
53,Male,White,10005,10.6,64273,735,1
20,Female,White,10002,4.7,42800,759,1
18,Female,White,10004,0.0,39400,714,1
39,Male,Asian,40002,14.3,51398,667,1
29,Male,White,10004,6.6,61727,710,1
24,Male,Black,20004,19.3,20378,679,1
42,Male,Hispanic,30002,14.3,80703,712,1
37,Female,White,10003,3.5,73543,781,0
29,Female,Black,20001,3.9000000000000004,40693,737,1
22,Male,White,10005,18.6,41933,710,1
43,Female,Black,20004,7.1,46215,736,0
41,Female,Black,20005,4.9,65989,740,1
34,Male,Black,20002,10.1,62892,646,0
53,Male,White,10005,7.4,81170,702,1
24,Male,Hispanic,30002,11.2,43392,828,1
19,Male,White,10005,9.6,20000,760,1
28,Male,White,10001,14.4,84956,674,1
34,Male,White,10001,8.1,56656,669,0
37,Male,Black,20001,5.6,61323,668,1
32,Male,Black,20001,8.3,81385,743,0
38,Female,White,10001,5.699999999999999,108688,780,1
22,Male,Black,20001,9.6,35004,729,1
49,Male,White,10002,13.2,62679,707,1
34,Male,Black,20004,12.9,75337,677,0
46,Female,White,10005,13.5,43114,716,0
38,Male,Black,20001,5.9,36358,658,0
39,Male,White,10002,11.9,48239,603,1
40,Female,Asian,40002,11.1,59438,781,0
39,Female,White,10002,4.1,55598,649,1
41,Female,White,10004,6.5,48124,683,0
48,Male,White,10005,1.3,40685,732,1
36,Male,Asian,10001,14.5,76239,771,1
42,Female,Hispanic,30003,6.4,79757,712,0
34,Female,White,10002,11.5,89654,640,1
49,Female,Black,20003,8.5,38379,684,0
28,Female,Hispanic,30001,6.6,70074,666,0
53,Male,Black,20001,2.0,52727,698,1
34,Female,Black,20004,0.3999999999999999,36587,761,1
20,Male,White,10005,0.0,74684,573,1
36,Male,White,10003,7.2,47668,679,1
28,Male,Hispanic,10002,21.4,45476,675,0
43,Male,Asian,10001,3.6,32465,637,1
28,Male,Black,20001,0.0,38716,729,0
30,Male,White,10005,14.8,65077,629,0
18,Female,White,10005,19.3,91379,635,1
30,Male,Black,20001,11.5,40930,742,0
18,Female,Hispanic,30003,8.9,32237,775,0
19,Male,Hispanic,30001,8.5,82947,696,0
42,Male,Hispanic,10002,1.0,42909,639,0
42,Male,Black,20003,2.7,20000,664,0
39,Male,White,10003,8.4,62662,750,1
25,Male,White,10001,7.5,53505,705,1
34,Male,Hispanic,10002,9.4,99008,694,0
34,Male,Black,20004,14.1,57507,715,0
23,Female,White,10005,4.6,57073,698,1
50,Male,White,10002,14.2,41510,777,1
43,Female,Black,20004,4.6,54603,662,0
32,Male,White,10003,15.2,89134,656,1
35,Female,White,10004,7.9,66236,630,0
37,Female,Black,20003,5.3,31051,673,1
18,Female,Black,20003,7.800000000000001,58776,645,1
32,Male,Black,20004,8.5,47028,710,0
28,Male,White,10003,10.6,68972,701,1
24,Male,Black,20003,13.8,40904,646,0
32,Female,White,10002,7.1,52434,729,0
52,Female,White,10005,5.699999999999999,51644,775,0
41,Female,Black,20005,1.9000000000000004,66845,717,1
29,Male,Black,20002,12.9,40635,572,1
40,Female,Hispanic,10001,9.2,43805,799,0
48,Female,Black,20001,1.5999999999999996,29159,737,0
44,Male,Black,20001,14.2,57080,797,0
35,Male,White,10001,4.0,66234,754,1
28,Female,White,10002,12.6,51025,764,1
41,Female,White,10002,10.9,45812,710,0
38,Female,White,10003,9.6,97523,686,1
43,Male,Asian,40001,8.1,22391,718,1
41,Female,White,10004,10.4,69863,664,1
45,Male,Hispanic,10001,15.4,78828,721,0
29,Male,Black,20001,13.0,20000,568,1
48,Male,Hispanic,30001,6.6,68883,702,1
36,Female,Black,20001,8.8,43595,767,0
55,Female,Black,20002,13.2,53121,704,1
28,Male,White,10002,21.0,53535,786,1
52,Male,White,10002,9.0,81508,686,0
36,Female,Black,20005,11.8,55262,750,0
28,Male,White,10004,15.7,62634,656,0
30,Female,White,10004,3.4000000000000004,42023,748,0
31,Male,Black,20003,18.9,85646,711,0
39,Male,White,10002,4.7,60199,689,0
40,Male,Asian,10003,14.0,105796,571,1
29,Male,Asian,10003,11.5,98551,687,0
34,Female,Asian,10001,7.800000000000001,24433,710,0
56,Male,White,10002,22.7,46901,741,1
52,Male,White,10003,8.5,39261,778,1
39,Female,Asian,40002,5.9,59036,801,1
35,Male,White,10001,16.7,63743,762,1
36,Male,Asian,40002,13.8,64599,671,1
41,Female,Asian,40001,13.899999999999999,81083,684,0
24,Female,Hispanic,30001,8.1,82872,736,0
32,Male,White,10003,11.6,79350,725,1
18,Female,White,10004,17.0,48781,781,1
38,Female,Hispanic,30002,3.3,37360,823,1
41,Male,White,10001,9.5,60055,813,0
30,Male,White,10002,14.0,68522,774,1
50,Female,Black,20004,6.5,44336,726,1
22,Female,Asian,10001,4.6,33090,767,1
20,Male,Black,20005,13.1,61641,783,1
37,Female,Black,20004,14.2,40154,692,0
45,Female,White,10003,6.800000000000001,51550,673,0
51,Male,Black,20001,9.2,46908,661,0
30,Male,Asian,10003,6.8,55202,656,0
45,Male,White,10003,8.5,52670,630,1
34,Female,Black,20002,12.9,22397,712,0
33,Male,Hispanic,30001,10.4,50755,650,0
43,Female,Black,20004,3.5,62059,660,1
41,Female,Black,20001,8.8,53293,735,0
19,Female,Black,20002,12.8,66962,709,1
49,Male,White,10005,7.2,45429,721,0
48,Female,White,10005,0.8999999999999999,34439,768,1
28,Male,Hispanic,10002,21.0,48083,743,0
38,Female,Hispanic,10001,0.6000000000000001,40715,775,1
39,Male,Hispanic,30003,8.2,42793,703,0
37,Male,Asian,40003,11.2,64235,780,1
29,Female,Black,20001,6.1,37938,717,0
28,Male,Black,20004,9.6,22999,708,1
34,Male,Hispanic,10002,12.9,41820,773,1
46,Female,Black,20005,0.0,54801,656,0
40,Female,Black,20002,1.2000000000000002,61430,801,1
31,Female,Hispanic,30002,7.699999999999999,66228,685,1
42,Female,Hispanic,10002,5.5,61489,639,0
18,Male,White,10005,10.6,56638,732,1
46,Male,White,10004,11.1,68098,681,1
18,Male,White,10003,0.0,59153,801,1
31,Male,Black,20002,16.4,50262,678,1
23,Female,White,10003,5.0,41213,715,0
22,Female,White,10004,3.2,60877,628,1
46,Male,Black,20005,11.0,55573,740,0
30,Male,White,10003,10.5,66823,661,0
38,Female,Black,20005,13.5,22250,734,0
34,Male,White,10005,11.4,61925,678,1
39,Female,White,10001,13.3,31122,597,1
35,Male,Hispanic,30003,5.3,56474,706,1
22,Female,White,10003,8.2,45973,704,0
44,Male,White,10005,4.4,94113,744,1
30,Female,Black,20004,8.0,50385,777,1
19,Female,Hispanic,30001,6.9,69023,795,1
30,Female,White,10005,6.699999999999999,102217,743,1
50,Female,Black,20002,6.800000000000001,31652,713,0
43,Female,White,10002,11.2,68713,628,1
31,Female,White,10001,0.0,36282,710,0
31,Male,Black,20004,5.5,54898,710,0
31,Female,Black,20005,7.300000000000001,83314,690,1
55,Female,Black,20003,1.5999999999999996,35442,731,0
38,Male,Black,20001,10.2,30281,756,1
39,Female,Asian,10001,7.199999999999999,58177,659,0
45,Female,Black,20003,0.5,88916,658,0
37,Female,White,10002,0.20000000000000018,75421,693,0
32,Male,Hispanic,30002,0.0,34902,669,0
33,Male,White,10003,3.9,89101,617,1
34,Female,White,10001,7.6,26899,650,0
34,Female,White,10002,8.3,102731,638,1
42,Male,White,10005,11.0,77129,760,1
35,Female,Asian,40003,3.5999999999999996,95271,785,0
42,Female,Hispanic,30003,7.4,20044,645,0
34,Male,Black,20002,12.0,51389,727,0
35,Female,White,10001,1.2000000000000002,57322,743,1
18,Male,White,10005,10.6,39860,625,0
44,Male,White,10001,13.3,34080,708,1
38,Male,White,10004,7.5,70142,826,0
44,Female,Black,20004,12.8,59955,733,0
18,Male,Black,20002,7.7,73999,687,1
55,Male,Black,20002,5.7,37932,671,1
33,Male,White,10002,12.8,57168,598,1
46,Male,Asian,10001,20.2,32351,723,0
24,Female,Black,20001,7.9,78816,797,1
41,Male,Black,20001,13.2,49391,659,0
24,Male,Black,20002,7.5,62452,603,1
28,Female,White,10005,1.2999999999999998,75158,666,0
54,Male,White,10001,10.8,89182,744,1
33,Male,White,10004,11.6,43372,678,1
37,Male,Hispanic,30003,8.2,66952,658,1
43,Male,White,10003,13.2,59500,700,1
39,Male,White,10003,6.7,102114,711,1
36,Male,White,10005,5.5,43313,630,1
38,Male,White,10002,15.3,83429,689,1
59,Female,Hispanic,10001,12.8,60007,675,0
34,Male,Black,20005,6.8,53957,667,0
37,Female,White,10004,16.1,61080,649,1
45,Female,White,10004,6.1,86933,747,0
46,Male,White,10002,10.4,65277,667,1
46,Female,White,10003,7.1,29512,600,1
41,Male,White,10002,12.6,84390,713,1
23,Female,White,10005,8.9,80724,736,1
51,Male,White,10005,11.3,71743,660,1
23,Male,Black,20005,4.9,25431,672,0
38,Male,Black,20002,1.6,28538,667,0
27,Female,White,10004,13.2,22451,682,0
34,Male,White,10004,7.3,69207,755,1
38,Female,Black,20001,7.300000000000001,21009,694,1
38,Male,Black,20005,11.6,20000,741,1
39,Female,Hispanic,10001,15.600000000000001,78500,651,1
51,Male,Black,20001,10.8,63364,680,0
39,Female,White,10004,5.5,53337,747,1
32,Male,White,10005,7.4,57319,659,0
44,Male,Black,20003,9.8,20000,750,1
46,Male,White,10005,5.5,78335,668,1
22,Male,Black,20002,10.1,34145,683,0
40,Female,Asian,10001,7.199999999999999,66606,783,1
42,Male,Black,20004,18.2,20000,678,0
32,Female,White,10002,7.1,79551,707,1
48,Male,Black,20002,0.4,32943,730,1
33,Male,White,10003,23.4,32479,711,1
36,Male,Black,20004,14.8,41208,712,1
33,Male,Asian,10001,20.4,48072,697,1
35,Female,White,10003,1.7000000000000002,81485,634,1
24,Male,Asian,40001,8.9,51592,717,1
20,Male,Asian,40003,13.4,87252,663,1
50,Female,White,10005,10.2,66603,738,1
26,Female,White,10004,9.0,77887,768,1
25,Male,White,10002,0.0,59957,609,1
18,Male,White,10005,1.4,85441,768,1
28,Female,White,10004,15.100000000000001,36928,679,1
21,Male,Black,20003,18.5,50272,693,0
51,Male,White,10005,9.5,52071,654,1
45,Male,White,10004,17.0,87933,709,0
28,Female,Hispanic,30001,2.4000000000000004,82981,703,1
57,Female,White,10001,3.5,60008,753,1
44,Male,Hispanic,30002,4.5,27170,662,1
31,Male,White,10004,5.8,68542,783,1
18,Male,White,10001,13.6,26708,733,1
57,Female,Black,20003,3.2,80523,704,0
21,Male,Black,20004,21.2,38537,690,1
18,Male,Hispanic,30003,12.3,52389,684,1
45,Female,Black,20003,12.9,34381,687,0
59,Male,Hispanic,30001,12.4,34964,708,0
48,Female,White,10004,13.600000000000001,74746,689,1
40,Male,White,10005,5.7,56828,667,1
40,Male,Hispanic,30001,17.2,53850,708,1
43,Male,Hispanic,30001,10.7,32922,658,0
42,Female,Asian,10001,13.5,77121,716,1
37,Female,White,10004,0.2999999999999998,79156,688,0
36,Female,White,10003,8.4,55821,734,1
34,Male,Hispanic,10001,10.7,78358,749,1
27,Female,White,10003,4.4,57918,749,1
32,Male,Asian,40001,11.6,75595,715,0
18,Male,Hispanic,30002,17.7,20541,721,1
34,Female,White,10005,4.0,67069,683,1
25,Male,Hispanic,30001,14.8,47570,733,0
23,Male,Hispanic,10001,4.4,56110,739,1
36,Male,White,10005,20.5,62214,621,0
48,Male,Asian,40002,13.9,62514,718,1
44,Male,Black,20002,18.6,60314,768,0
19,Female,Hispanic,30003,10.9,41697,682,0
25,Male,White,10005,12.0,71382,671,1
44,Female,Hispanic,30003,11.5,77650,679,0
25,Female,White,10001,6.800000000000001,31797,624,1
32,Male,White,10005,1.9,44389,706,1
40,Male,Asian,40001,12.2,45229,701,1
25,Male,White,10003,6.2,38159,709,1
36,Female,White,10005,2.0,50506,720,1
21,Male,Asian,40003,13.2,80662,660,1
28,Female,Asian,10003,6.1,88952,713,1
38,Male,Black,20003,15.1,50123,722,1
19,Female,Black,20002,3.5999999999999996,41515,675,1
39,Male,White,10003,7.6,76058,721,1
34,Male,White,10002,15.8,20000,704,0
40,Female,White,10003,8.9,38896,668,0
37,Female,Black,20005,0.10000000000000009,20000,714,0
48,Male,Hispanic,10002,11.3,31686,685,1
36,Female,Hispanic,10002,14.899999999999999,37660,734,1
30,Male,Hispanic,10001,7.6,82554,688,1
36,Female,White,10001,10.5,20000,635,1
40,Female,White,10005,3.3,51666,713,1
35,Male,White,10002,9.3,72391,711,1
35,Male,Black,20005,15.4,56215,645,1
27,Male,White,10004,11.1,89235,737,0
28,Male,Hispanic,30002,16.4,56221,734,1
20,Female,White,10004,9.6,67486,656,1
52,Male,White,10002,21.1,23230,667,1
22,Male,White,10003,2.2,40235,692,1
28,Female,Hispanic,30001,6.4,20000,662,0
27,Female,Black,20001,2.0999999999999996,59452,732,1
43,Male,White,10004,4.9,66974,707,1
32,Male,White,10001,5.0,66271,645,1
47,Male,Black,20004,10.8,30371,658,0
28,Male,White,10004,11.1,40541,759,1
37,Female,Hispanic,10001,9.6,57189,776,0
26,Male,Black,20001,4.4,34612,726,0
56,Female,White,10004,5.9,39592,689,0
23,Male,White,10001,5.2,49832,678,1
38,Female,Asian,10001,12.2,46785,727,0
41,Female,White,10005,3.0999999999999996,42666,703,1
39,Female,White,10004,6.4,35485,619,1
33,Male,Hispanic,30002,12.8,61974,751,0
33,Male,Asian,10001,6.9,91121,767,1
35,Male,Asian,40003,13.5,59220,736,1
33,Female,Hispanic,10001,15.5,57449,645,0
44,Female,White,10002,8.4,70728,668,1
57,Female,White,10002,12.0,67331,607,1
29,Female,Hispanic,30001,0.0,36062,779,1
21,Female,Black,20005,5.4,82397,682,0
34,Male,White,10004,10.9,44854,816,0
60,Female,Asian,40001,2.2,72962,797,0
26,Male,White,10005,11.0,70604,654,1
51,Male,White,10004,15.3,20831,664,1
51,Male,White,10003,0.6,52823,723,1
29,Male,White,10004,4.1,61133,612,1
40,Male,White,10002,10.9,62663,678,1
51,Female,White,10002,9.8,66028,673,1
31,Male,White,10003,13.7,75153,792,1
32,Female,Black,20001,8.1,47850,708,0
29,Male,Black,20005,12.3,55092,685,1
24,Male,Black,20004,14.5,47101,668,1
28,Male,Asian,40002,7.9,39653,744,1
22,Male,White,10001,7.0,60648,675,0
35,Female,White,10003,6.699999999999999,74982,697,0
27,Male,Hispanic,30002,11.0,75176,668,0
37,Female,White,10003,4.2,70746,624,0
19,Male,Asian,10001,8.0,86687,650,1
38,Female,White,10005,9.5,68377,674,1
43,Female,Asian,40002,8.3,77278,686,1
18,Female,White,10002,6.6,78748,689,1
38,Male,Hispanic,10001,1.3,48533,695,1
47,Male,Black,20001,10.0,62520,675,0
22,Male,Asian,10003,5.1,41187,767,0
51,Female,White,10002,12.4,66996,747,0
39,Male,Black,20005,8.5,59541,693,0
27,Male,Asian,40002,5.0,81022,712,0
34,Female,Black,20005,7.199999999999999,64415,681,0
40,Male,Black,20003,16.4,69282,557,1
35,Female,Black,20002,10.7,46012,701,1
40,Male,White,10005,11.1,53092,715,1
25,Male,Black,20001,3.4,42502,619,0
36,Female,Black,20003,15.600000000000001,53326,724,1
20,Male,Asian,40003,6.9,23825,685,0
33,Female,White,10001,12.2,86635,716,1
25,Male,White,10005,8.4,60877,687,1
27,Male,Asian,10001,14.2,51700,762,1
47,Female,Hispanic,30001,14.0,20000,711,1
45,Female,White,10005,10.7,59264,750,1
41,Female,Black,20001,11.3,44030,754,1
24,Male,White,10001,9.5,42059,644,0
31,Female,White,10002,5.3,46539,663,1
47,Male,White,10005,10.7,59467,722,1
36,Male,White,10004,8.3,48235,681,1
58,Female,Black,20002,19.8,59438,688,1
38,Male,White,10001,5.0,45024,764,0
36,Female,Asian,40001,12.5,63092,684,1
31,Male,Asian,40001,12.6,83601,651,0
